question,answer,temperature,model,processor,output,score,acceptance_rate,tokens_per_sec
Who was the first President of the United States?,George Washington,0.8,speculative,greedy," The first President of the United States was George Washington. He was inaugurated on April 30, 1789, and served two terms in office until March 4, ",0.5365633368492126,0.5098039215686274,2.63
Who was the first President of the United States?,George Washington,0.8,ngram,greedy," The first President of the United States was George Washington. He was inaugurated on April 30, 1789, and served two terms in office until March 4, ",0.5365633368492126,1.0,4.21
Who was the first President of the United States?,George Washington,0.8,autoregressive,greedy," The first President of the United States was George Washington. He was inaugurated on April 30, 1789, and served two terms in office until March 4, ",0.5365633368492126,,6.2
What is 15 percent of 200?,30,0.8,speculative,greedy," To find 15 percent of 200, you can multiply 200 by 0.
0.15 = 30

So, 15",0.2577181160449981,0.3770491803278688,4.37
What is 15 percent of 200?,30,0.8,ngram,greedy," To find 15 percent of 200, you can multiply 200 by 0.15.

200 x 0.15 = ",0.168513223528862,0.5,9.74
What is 15 percent of 200?,30,0.8,autoregressive,greedy," To find 15 percent of 200, you can multiply 200 by 0.15.

200 x 0.15 = ",0.168513223528862,,4.54
What is the square root of 144?,12,0.8,speculative,greedy, The square root of 144 is 12.,0.3954220414161682,0.6875,3.54
What is the square root of 144?,12,0.8,ngram,greedy, The square root of 144 is 12.,0.3954220414161682,0.3333333333333333,9.19
What is the square root of 144?,12,0.8,autoregressive,greedy, The square root of 144 is 12.,0.3954220414161682,,6.92
Who was the leader of Nazi Germany?,Adolf Hitler,0.8,speculative,greedy," The leader of Nazi Germany during World War II was Adolf Hitler.

Adolf Hitler was born in Austria in 1889 and became the leader of the Nazi Party in",0.6121636629104614,0.4716981132075472,5.09
Who was the leader of Nazi Germany?,Adolf Hitler,0.8,ngram,greedy," The leader of Nazi Germany during World War II was Adolf Hitler.

Adolf Hitler was born in Austria in 1889 and became the leader of the Nazi Party in",0.6121636629104614,0.4444444444444444,6.87
Who was the leader of Nazi Germany?,Adolf Hitler,0.8,autoregressive,greedy," The leader of Nazi Germany during World War II was Adolf Hitler.

Adolf Hitler was born in Austria in 1889 and became the leader of the Nazi Party in",0.6121636629104614,,6.68
What force keeps us on the ground?,Gravity,0.8,speculative,greedy, The force that keeps us on the ground is called gravity. It is a fundamental force of nature that attracts objects towards each other with a force proportional to their mass and the distance between them.,0.5322452783584595,0.3384615384615385,4.26
What force keeps us on the ground?,Gravity,0.8,ngram,greedy, The force that keeps us on the ground is called gravity. It is a fundamental force of nature that attracts objects towards each other with a force proportional to their mass and the distance between them.,0.5322452783584595,0.75,7.4
What force keeps us on the ground?,Gravity,0.8,autoregressive,greedy, The force that keeps us on the ground is called gravity. It is a fundamental force of nature that attracts objects towards each other with a force proportional to their mass and the distance between them.,0.5322452783584595,,5.42
